case,mode,time,A_inj,A_ctrl,SNR
m2,2,22.8,0.002755843903910887,0.003022001040837612,0.9119268546469614
m2,2,23.0025,0.002741909441829917,0.003006311036677959,0.9120511511875325
m2,2,23.205,0.0027329355736555403,0.0029943393774299817,0.9127006759004044
m2,2,23.4,0.0027217609618302094,0.0030123214824992065,0.903542658923665
m2,2,23.6025,0.002710213203455705,0.002997331356559092,0.9042087380579117
m2,2,23.805,0.002700549987760078,0.0030036519893631404,0.8990888416246489
m2,2,24.0,0.0026898103482161854,0.0030013467217882353,0.8962011382055742
m2,2,24.2025,0.0026835418298377925,0.0029905021336962424,0.8973549289934635
m2,2,24.405,0.0026753277034897026,0.002978105335902693,0.8983321278925765
m2,2,24.6,0.0026647584450994986,0.0029672537732721993,0.898055457575805
m2,2,24.8025,0.0026578382862650326,0.002954126139118405,0.8997037232330936
m2,2,25.005,0.002649687266657809,0.0029540032225717607,0.8969818470106429
m2,2,25.2,0.002642317593783735,0.002938168017789343,0.8993078604714362
m2,2,25.4025,0.0021558253060160164,0.002931264336705866,0.7354591938435404
m2,2,25.605,0.002405622139214689,0.00294534938413659,0.8167527262372241
m2,2,25.8,0.002389082935615239,0.0029289334374523793,0.8156835881163935
m2,2,26.0025,0.0023762383433748556,0.0028991760582714817,0.8196254023950491
m2,2,26.205,0.002366568798613444,0.002884877225002266,0.8203360538546264
m2,2,26.4,0.0023446786144250427,0.0028743945320096405,0.81571217462126
m2,2,26.6025,0.0023274505157230693,0.002870338687433094,0.8108626783010326
m2,2,26.805,0.002320254310905264,0.0028650350691783316,0.8098519755887993
m2,2,27.0,0.0023085925267214485,0.00285464615116875,0.8087140767959153
m2,2,27.2025,0.0023000956205551874,0.0028437382506965236,0.8088281753750787
m2,2,27.405,0.002303880408616331,0.0028360007964535554,0.8123694504942857
m2,2,27.6,0.0022905942137665587,0.0028283600797358146,0.8098665478196516
m2,2,27.8025,0.0022917185469445212,0.0028206286396338038,0.8124850307277778
m2,2,28.005,0.002280356595213404,0.002809504598693811,0.8116578973651022
m2,2,28.2,0.002302486637164421,0.002807188480675895,0.8202109167283432
