case,mode,time,A_inj,A_ctrl,SNR
m2,2,40.6,0.007015564888698893,0.007015694476419346,0.9999815288820104
m2,2,40.8025,0.0070263032956558585,0.0070264323682266245,0.9999816304257977
m2,2,41.005,0.007028474743166374,0.007028602342524947,0.9999818456995637
m2,2,41.2,0.007030542660535101,0.007030668746870466,0.9999820662386604
m2,2,41.4025,0.007032666095536495,0.007032790739251904,0.9999822767774514
m2,2,41.605,0.007034765417102635,0.007034888616716835,0.9999824873397558
m2,2,41.8,0.007036764429136766,0.007036886431177306,0.9999826624968681
m2,2,42.0025,0.007038817334437125,0.0070389379258010655,0.9999828679603071
m2,2,42.205,0.007040846882083958,0.007040966073819014,0.9999830716788283
m2,2,42.4,0.007042779520224655,0.0070428973405383235,0.9999832710448595
m2,2,42.6025,0.0070411071527084505,0.00704122335454453,0.9999834969251465
m2,2,42.805,0.007043064246867678,0.0070431791576783115,0.9999836848093651
m2,2,43.0,0.007044927787665121,0.007045041497518234,0.9999838595907272
m2,2,43.2025,0.007042215239280293,0.007042328193113436,0.9999839607257648
m2,2,43.405,0.0070441191741128515,0.007044230992885247,0.9999841261917009
m2,2,43.6,0.007045932097871001,0.007046042720697178,0.999984300006321
m2,2,43.8025,0.007047793917324908,0.007047903201784728,0.999984494046429
m2,2,44.004999999999995,0.007049634561782118,0.0070497425833013164,0.9999846772392152
m2,2,44.2,0.007051387135755442,0.007051494038942213,0.999984839640198
m2,2,44.4025,0.0070531867365435045,0.007053292481748241,0.9999850076818719
m2,2,44.605000000000004,0.007054966156349239,0.00705507057622307,0.9999851993154848
m2,2,44.8,0.00701897923223868,0.007019084348411545,0.9999850242328419
m2,2,45.0025,0.007020749113365678,0.007020853070934028,0.999985193028924
m2,2,45.205,0.00702249898668455,0.007022601726132055,0.9999853701731194
m2,2,45.400000000000006,0.007024165227979501,0.007024266830552488,0.9999855354906871
m2,2,45.602500000000006,0.0070258761819442265,0.007025976619249801,0.999985704861969
m2,2,45.80500000000001,0.007027567592689394,0.0070276669706045135,0.9999858590460341
m2,2,46.0,0.007029178136268679,0.007029276441482211,0.9999860148886802
m2,2,46.2025,0.007030832022610642,0.007030929184060506,0.9999861808521576
m2,2,46.405,0.007028316334061601,0.007028412614457523,0.9999863012601559
m2,2,46.599999999999994,0.007029876588597772,0.007029971790961309,0.9999864576464362
m2,2,46.802499999999995,0.007031478823188659,0.007031572856520472,0.9999866269846402
m2,2,47.004999999999995,0.007061267871250716,0.007061362199789704,0.9999866415945934
m2,2,47.2,0.0070627982946138475,0.007062891673043136,0.9999867790087105
m2,2,47.4025,0.007064369730331039,0.007064462092429639,0.9999869258129789
m2,2,47.605000000000004,0.007065923370548036,0.007066014568818117,0.9999870933934266
m2,2,47.8,0.004854242373216926,0.00485434024809232,0.9999798376565318
m2,2,48.0025,0.004853099920266663,0.004853197285214621,0.9999799379785662
m2,2,48.205,0.004854739829995497,0.004854836202167163,0.9999801492434239
m2,2,48.400000000000006,0.004868234609129938,0.0048683290320375,0.9999806046577913
m2,2,48.602500000000006,0.004869825248040697,0.00486991850609508,0.9999808501817297
m2,2,48.80500000000001,0.0048713975842238095,0.004871489993628044,0.9999810305667557
m2,2,49.0,0.004872894882722939,0.004872986377321651,0.9999812241217957
m2,2,49.2025,0.004874432406444893,0.004874522693356001,0.9999814777944862
m2,2,49.405,0.004875952459360365,0.004876041714156196,0.9999816952353848
m2,2,49.599999999999994,0.00487739972471114,0.004877488199214091,0.9999818606423354
m2,2,49.802499999999995,0.004878885836246104,0.004878973196202639,0.9999820946020767
m2,2,50.0,0.004880319132334963,0.0048804053663979805,0.9999823305531931
m3,3,0.002500000000001279,0.05239789280367459,0.006579796597318792,7.963451761567562
m3,3,0.2049999999999983,0.005633112283229401,0.006593694192852652,0.8543180982423343
